"country","variable","n_obs","statistic","p_value","decision_5pct"
"Bahrain","ln_trade",23,-3.2458423229861,0.0991885662519309,"Non-stationary"
"China","ln_trade",23,-1.71446510392757,0.681156150884735,"Non-stationary"
"Egypt","ln_trade",23,-1.88358146435942,0.61673087072022,"Non-stationary"
"India","ln_trade",23,-2.6049316558602,0.341930797767541,"Non-stationary"
"Japan","ln_trade",23,-1.83031397314797,0.637023248324581,"Non-stationary"
"Saudi","ln_trade",23,-3.21586863016691,0.109192902793557,"Non-stationary"
"UAE","ln_trade",23,-1.84086861528907,0.633002432270829,"Non-stationary"
"USA","ln_trade",23,-5.64974031473027,0.01,"Stationary"
"Bahrain","ln_cti",23,-3.20075800239012,0.114949332422812,"Non-stationary"
"China","ln_cti",23,-2.42433727105861,0.410728658644341,"Non-stationary"
"Egypt","ln_cti",23,-1.85004751985677,0.629505706721229,"Non-stationary"
"India","ln_cti",23,-1.61739703752452,0.718134461895421,"Non-stationary"
"Japan","ln_cti",23,-2.86678219103153,0.24217821294037,"Non-stationary"
"Saudi","ln_cti",23,-1.7362073263175,0.672873399498096,"Non-stationary"
"UAE","ln_cti",23,-2.35135214860603,0.438532514816751,"Non-stationary"
"USA","ln_cti",23,-3.75623438847616,0.0388404008231313,"Stationary"
"Bahrain","ln_gdpc",23,-1.55000524624613,0.743807525239569,"Non-stationary"
"China","ln_gdpc",23,-1.36252821582012,0.81522734635424,"Non-stationary"
"Egypt","ln_gdpc",23,-1.35690196186776,0.817370681193233,"Non-stationary"
"India","ln_gdpc",23,-1.44903551150443,0.78227218609355,"Non-stationary"
"Japan","ln_gdpc",23,-1.52399829012662,0.753714937094621,"Non-stationary"
"Saudi","ln_gdpc",23,-1.47790443374386,0.77127450143091,"Non-stationary"
"UAE","ln_gdpc",23,-1.76444303460655,0.662116939197503,"Non-stationary"
"USA","ln_gdpc",23,-1.52482757244959,0.753399020019204,"Non-stationary"
