"item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"1","Bahrain",1,23,17.3118974692706,5.26846130326439,18.6851484869415,18.4586319432401,2.06134144206566,-4.60517018598809,20.5796172086953,25.1847873946834,-3.14246703779122,10.1427243039919,1.09855012163255
"2","China",1,23,21.960468177811,1.46920556813032,22.4970422424697,22.0201005615534,1.22451425404641,19.3162613337041,23.9898168812359,4.67355554753179,-0.446671754728424,-1.36530660026983,0.306350538168085
"3","Egypt",1,23,18.9866346588458,1.27140929658341,19.4130427509049,18.9801074561142,1.54975571535725,16.7885144889982,21.1474615862207,4.35894709722254,-0.007387171035186,-1.19527088194352,0.265107164503808
"4","India",1,23,21.9740302148138,1.56357118074871,22.6885498098917,22.0942474671926,1.12797921506465,19.2119385431068,23.6084726650831,4.39653412197627,-0.681424900704651,-1.14896217127028,0.326027128590346
"5","Japan",1,23,23.3532397717785,0.727359388339375,23.394613105478,23.4087863662594,0.703231337989367,21.7545980507429,24.4554001440992,2.70080209335625,-0.582313046144646,-0.216485170075194,0.151664916668497
"6","Saudi",1,23,19.0302470116636,5.65308115306046,20.5793100125407,20.4271832108618,1.22587012307854,-4.60517018598809,21.6594622143435,26.2646324003316,-3.27390159330886,10.4920805055944,1.17874890424749
"7","UAE",1,23,21.6454820665054,0.938776112012763,21.8601211334087,21.6829155524562,1.12684346038354,19.7811004754505,22.9395287604847,3.1584282850342,-0.308946147128975,-1.29698730361717,0.19574835092712
"8","USA",1,23,21.5776557194146,0.938553163165942,21.9871594493552,21.6408501361786,0.886261851872096,19.4346903524265,22.6998112973663,3.26512094493979,-0.5841246292572,-1.00347153028186,0.195701862878961
"9","Bahrain",2,23,-3.67733593602514,0.307813998829616,-3.6576450272015,-3.67886118890378,0.371307806172067,-4.17063673724919,-3.14704117677062,1.02359556047857,-0.046688480201141,-1.18372818828574,0.064183655604522
"10","China",2,23,1.10978283154875,0.212930723018852,1.0772774798775,1.09802418384521,0.256896827073993,0.858972972279861,1.48573782356341,0.626764851283547,0.426397583968709,-1.33229789707208,0.044399124945025
"11","Egypt",2,23,-3.4569913707331,0.398250558313438,-3.34285770936897,-3.44416951607932,0.351079804902508,-4.16762898022215,-2.78981524477816,1.37781373544399,-0.467258319223188,-0.999055663942602,0.083040981814629
"12","India",2,23,-1.48683929317768,0.433874680622548,-1.37833919525269,-1.46007594217876,0.417466419027866,-2.29160525220317,-0.931811822400632,1.35979342980253,-0.583073897721077,-0.948094366793351,0.090469124804211
"13","Japan",2,23,-0.481724266814753,0.205643582322607,-0.512674844820794,-0.476523969318103,0.276302299322402,-0.884132711661696,-0.191525873656342,0.692606838005354,-0.097267308855305,-1.26918262291392,0.042879651072596
"14","Saudi",2,23,1.57528207164904,0.182713689202065,1.59039060209068,1.5770782407286,0.244407686141199,1.23950274892042,1.87873265798028,0.639229909059865,-0.073492979288308,-1.405926852805,0.038098437844175
